0.036,0.183,0.167,0.251,0.189,0.129,0.191,0.213,0.205,0.175,0.274,0.069
0.039,0.17,0.155,0.156,0.135,0.181,0.248,0.241,0.165,0.206,0.162,0.085
0.039,0.168,0.155,0.241,0.138,0.19,0.239,0.213,0.171,0.198,0.137,0.071
0.04,0.148,0.158,0.255,0.15,0.201,0.707,0.395,0.26,0.431,0.207,0.063
0.04,0.042,0.04,0.042,0.038,0.039,0.037,0.039,0.039,0.034,0.044,0.04
37 PS,4005,4005,4016,4016,4021,4021,3713,3713,6101,6101,
0.036,0.034,0.034,0.035,0.036,0.04,0.039,0.036,0.034,0.036,0.035,0.035
0.038,0.291,0.294,0.201,0.22,0.287,0.321,0.236,0.225,2.281,2.664,0.078
0.036,0.281,0.239,0.145,0.236,0.147,0.206,0.161,0.154,1.733,2.867,0.64
0.039,0.223,0.253,0.153,0.286,0.166,0.199,0.167,0.18,2.684,3.535,0.075
0.036,0.258,0.226,0.169,0.138,0.129,0.139,0.156,0.186,2.284,2.807,0.086
0.04,0.237,0.197,0.173,0.101,0.122,0.154,0.145,0.133,0.843,2.667,0.069
0.038,0.286,0.338,0.237,0.204,0.37,0.201,0.153,0.147,1.033,3.021,0.071
0.039,0.048,0.038,0.04,0.041,0.041,0.039,0.038,0.042,0.037,0.037,0.051
37 PS,4022,4022,4025,4025,4035,4035,4040,4040,4044,4044,
0.035,0.044,0.035,0.037,0.036,0.042,0.035,0.041,0.039,0.037,0.039,0.047
0.036,0.203,0.276,0.144,0.282,0.295,0.301,0.362,0.327,0.387,0.344,0.223
0.04,0.272,0.393,0.158,0.152,0.213,0.226,0.162,0.184,0.137,0.093,0.106
0.036,0.269,0.365,0.143,0.149,0.214,0.193,0.154,0.158,0.178,0.127,0.099
0.038,0.304,0.605,0.132,0.196,0.218,0.466,0.162,0.397,0.194,0.297,0.079
0.039,0.578,0.699,0.19,0.25,0.225,0.493,0.235,0.506,0.251,0.254,0.072
